bucket,prefixo,regiao,storage_class,tamanho_gb,idade_dias,num_objetos,preco_por_gb,custo_mensal_usd
backups-eu,raw/,us-east-1,STANDARD_IA,170.27,206,1831,0.0125,2.13
ml-datasets,2023/,sa-east-1,STANDARD_IA,173.59,12,125,0.026250000000000002,4.56
backups-eu,raw/,us-east-1,STANDARD,141.96,276,671,0.023,3.27
logs-prod,processed/,sa-east-1,GLACIER,167.57,181,1475,0.0085,1.42
app-assets,2024/,us-east-1,STANDARD,139.8,242,2510,0.023,3.22
app-assets,2024/,us-east-1,GLACIER,136.35,216,1878,0.0036,0.49
app-assets,archive/,sa-east-1,STANDARD,124.1,251,2344,0.0405,5.03
ml-datasets,2024/,us-east-1,STANDARD,150.79,299,1026,0.023,3.47
logs-prod,archive/,us-east-1,STANDARD,32.56,126,320,0.023,0.75
ml-datasets,2023/,us-east-1,STANDARD_IA,176.29,217,217,0.0125,2.2
ml-datasets,processed/,sa-east-1,STANDARD_IA,174.5,306,2675,0.026250000000000002,4.58
logs-prod,archive/,sa-east-1,STANDARD,6.82,285,2503,0.0405,0.28
logs-prod,2023/,sa-east-1,GLACIER,165.34,185,2727,0.0085,1.41
logs-prod,2024/,us-east-1,STANDARD_IA,26.65,39,642,0.0125,0.33
logs-prod,2024/,us-east-1,STANDARD_IA,67.69,223,2112,0.0125,0.85
app-assets,2023/,us-east-1,STANDARD_IA,148.96,184,2969,0.0125,1.86
data-lake-raw,2024/,us-east-1,STANDARD_IA,32.99,178,666,0.0125,0.41
data-lake-raw,2023/,us-east-1,STANDARD_IA,163.78,294,1433,0.0125,2.05
logs-prod,archive/,us-east-1,STANDARD,166.59,340,1941,0.023,3.83
data-lake-raw,archive/,us-east-1,STANDARD,101.99,151,2572,0.023,2.35
data-lake-raw,2023/,sa-east-1,GLACIER,2.27,384,1689,0.0085,0.02
logs-prod,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,58.12,126,246,0.00099,0.06
data-lake-raw,archive/,us-east-1,STANDARD,123.77,301,357,0.023,2.85
ml-datasets,archive/,sa-east-1,STANDARD,196.26,308,2684,0.0405,7.95
backups-eu,raw/,us-east-1,STANDARD_IA,126.73,336,639,0.0125,1.58
backups-eu,processed/,sa-east-1,STANDARD_IA,52.7,234,1550,0.026250000000000002,1.38
logs-prod,2024/,sa-east-1,STANDARD,127.17,380,2013,0.0405,5.15
app-assets,raw/,sa-east-1,STANDARD,108.46,375,1281,0.0405,4.39
logs-prod,archive/,us-east-1,GLACIER,156.19,8,373,0.0036,0.56
app-assets,2023/,sa-east-1,GLACIER,22.29,341,2378,0.0085,0.19
backups-eu,archive/,us-east-1,STANDARD,152.44,129,295,0.023,3.51
logs-prod,processed/,us-east-1,STANDARD,108.71,264,158,0.023,2.5
ml-datasets,archive/,us-east-1,STANDARD,192.64,157,1117,0.023,4.43
data-lake-raw,2023/,sa-east-1,GLACIER,69.03,352,2463,0.0085,0.59
app-assets,processed/,us-east-1,STANDARD,126.89,358,465,0.023,2.92
data-lake-raw,archive/,us-east-1,STANDARD,186.47,5,1776,0.023,4.29
data-lake-raw,processed/,sa-east-1,GLACIER,21.4,86,809,0.0085,0.18
logs-prod,2024/,us-east-1,STANDARD,187.51,175,1194,0.023,4.31
data-lake-raw,2024/,us-east-1,GLACIER,137.89,290,1022,0.0036,0.5
ml-datasets,archive/,us-east-1,STANDARD,14.5,193,2841,0.023,0.33
data-lake-raw,processed/,us-east-1,STANDARD,60.89,311,2517,0.023,1.4
logs-prod,2023/,us-east-1,STANDARD,141.93,119,1533,0.023,3.26
ml-datasets,archive/,us-east-1,GLACIER,14.4,218,2795,0.0036,0.05
backups-eu,2024/,sa-east-1,GLACIER,116.85,114,2566,0.0085,0.99
data-lake-raw,2024/,us-east-1,GLACIER,69.83,145,490,0.0036,0.25
logs-prod,archive/,us-east-1,STANDARD,124.56,26,1696,0.023,2.86
backups-eu,processed/,sa-east-1,GLACIER,10.1,136,2171,0.0085,0.09
backups-eu,2024/,us-east-1,STANDARD,174.44,303,2806,0.023,4.01
app-assets,processed/,sa-east-1,STANDARD,194.72,232,1611,0.0405,7.89
ml-datasets,2024/,us-east-1,GLACIER,193.81,369,2418,0.0036,0.7
data-lake-raw,2024/,us-east-1,STANDARD,150.18,76,350,0.023,3.45
logs-prod,raw/,us-east-1,STANDARD,26.89,328,2827,0.023,0.62
app-assets,2024/,us-east-1,STANDARD,151.89,345,2020,0.023,3.49
ml-datasets,2023/,us-east-1,STANDARD,5.89,302,2818,0.023,0.14
app-assets,archive/,us-east-1,STANDARD,5.4,289,2506,0.023,0.12
ml-datasets,archive/,us-east-1,STANDARD_IA,65.4,1,1876,0.0125,0.82
ml-datasets,processed/,us-east-1,STANDARD_IA,98.24,147,844,0.0125,1.23
data-lake-raw,2024/,us-east-1,GLACIER,154.31,287,1213,0.0036,0.56
ml-datasets,2023/,us-east-1,GLACIER,136.98,142,1735,0.0036,0.49
app-assets,processed/,us-east-1,STANDARD,89.73,53,1699,0.023,2.06
ml-datasets,raw/,us-east-1,STANDARD,55.45,304,320,0.023,1.28
data-lake-raw,processed/,sa-east-1,STANDARD,199.43,69,271,0.0405,8.08
data-lake-raw,processed/,us-east-1,STANDARD_IA,85.81,361,1452,0.0125,1.07
app-assets,2024/,sa-east-1,STANDARD,90.83,90,415,0.0405,3.68
backups-eu,raw/,sa-east-1,STANDARD_IA,33.56,220,2200,0.026250000000000002,0.88
backups-eu,processed/,us-east-1,STANDARD_IA,159.17,192,351,0.0125,1.99
ml-datasets,2023/,sa-east-1,STANDARD_IA,139.04,63,1349,0.026250000000000002,3.65
logs-prod,2023/,sa-east-1,STANDARD_IA,44.93,73,253,0.026250000000000002,1.18
ml-datasets,archive/,us-east-1,STANDARD,17.39,161,499,0.023,0.4
app-assets,raw/,us-east-1,GLACIER_DEEP_ARCHIVE,136.42,169,21,0.00099,0.14
app-assets,raw/,sa-east-1,GLACIER,131.25,89,570,0.0085,1.12
app-assets,archive/,sa-east-1,STANDARD,55.38,176,51,0.0405,2.24
app-assets,processed/,us-east-1,GLACIER,190.22,269,2735,0.0036,0.68
app-assets,raw/,us-east-1,STANDARD_IA,31.06,73,603,0.0125,0.39
data-lake-raw,2023/,us-east-1,GLACIER,87.03,245,1462,0.0036,0.31
backups-eu,2023/,us-east-1,GLACIER,188.78,77,1836,0.0036,0.68
app-assets,2024/,sa-east-1,STANDARD_IA,84.53,159,1703,0.026250000000000002,2.22
logs-prod,raw/,us-east-1,STANDARD,128.07,324,143,0.023,2.95
logs-prod,processed/,us-east-1,STANDARD,80.12,98,957,0.023,1.84
logs-prod,archive/,sa-east-1,STANDARD_IA,55.57,381,82,0.026250000000000002,1.46
logs-prod,archive/,us-east-1,STANDARD_IA,196.81,102,408,0.0125,2.46
data-lake-raw,processed/,us-east-1,STANDARD,82.46,132,1438,0.023,1.9
logs-prod,2024/,sa-east-1,STANDARD,178.93,102,2635,0.0405,7.25
app-assets,archive/,sa-east-1,GLACIER,46.76,19,2916,0.0085,0.4
ml-datasets,raw/,us-east-1,GLACIER_DEEP_ARCHIVE,43.41,82,139,0.00099,0.04
logs-prod,2024/,us-east-1,STANDARD_IA,7.2,397,2988,0.0125,0.09
data-lake-raw,raw/,us-east-1,STANDARD,130.68,279,1821,0.023,3.01
data-lake-raw,2023/,us-east-1,STANDARD,74.34,339,2011,0.023,1.71
logs-prod,2024/,us-east-1,STANDARD,173.01,365,275,0.023,3.98
ml-datasets,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,95.17,331,1570,0.00099,0.09
logs-prod,2024/,us-east-1,STANDARD,193.67,129,1995,0.023,4.45
data-lake-raw,2024/,us-east-1,STANDARD_IA,37.92,344,802,0.0125,0.47
backups-eu,2024/,us-east-1,STANDARD,173.86,310,2310,0.023,4.0
app-assets,2024/,us-east-1,STANDARD_IA,155.54,89,2879,0.0125,1.94
data-lake-raw,raw/,us-east-1,GLACIER,154.41,213,1322,0.0036,0.56
logs-prod,2023/,us-east-1,GLACIER,169.11,143,173,0.0036,0.61
app-assets,processed/,us-east-1,STANDARD,152.44,65,104,0.023,3.51
logs-prod,2024/,sa-east-1,STANDARD,125.62,76,1815,0.0405,5.09
logs-prod,archive/,us-east-1,STANDARD,27.12,199,2890,0.023,0.62
backups-eu,2024/,sa-east-1,GLACIER_DEEP_ARCHIVE,7.47,143,1143,0.002079,0.02
app-assets,archive/,sa-east-1,GLACIER,184.25,316,2393,0.0085,1.57
app-assets,raw/,us-east-1,STANDARD_IA,123.71,93,831,0.0125,1.55
backups-eu,archive/,us-east-1,STANDARD_IA,159.51,305,247,0.0125,1.99
data-lake-raw,processed/,us-east-1,GLACIER,96.82,224,2438,0.0036,0.35
logs-prod,2023/,us-east-1,STANDARD,24.34,291,2956,0.023,0.56
ml-datasets,archive/,sa-east-1,GLACIER_DEEP_ARCHIVE,25.91,102,2540,0.002079,0.05
logs-prod,archive/,us-east-1,STANDARD_IA,137.43,267,1970,0.0125,1.72
logs-prod,2023/,us-east-1,STANDARD,86.63,355,2959,0.023,1.99
data-lake-raw,processed/,us-east-1,STANDARD_IA,40.9,110,1058,0.0125,0.51
logs-prod,2024/,us-east-1,STANDARD,98.83,330,1686,0.023,2.27
backups-eu,archive/,sa-east-1,STANDARD,13.78,265,2539,0.0405,0.56
backups-eu,2023/,us-east-1,GLACIER,116.81,3,2974,0.0036,0.42
app-assets,raw/,us-east-1,STANDARD,54.53,85,973,0.023,1.25
ml-datasets,2023/,sa-east-1,STANDARD_IA,159.71,282,546,0.026250000000000002,4.19
logs-prod,raw/,sa-east-1,STANDARD,62.76,328,1613,0.0405,2.54
logs-prod,processed/,us-east-1,STANDARD,91.59,304,1989,0.023,2.11
data-lake-raw,2024/,us-east-1,STANDARD,3.31,117,137,0.023,0.08
backups-eu,2023/,us-east-1,STANDARD,15.42,221,101,0.023,0.35
ml-datasets,archive/,us-east-1,GLACIER,79.11,154,552,0.0036,0.28
app-assets,processed/,us-east-1,STANDARD,96.51,153,855,0.023,2.22
backups-eu,2023/,us-east-1,STANDARD_IA,120.4,12,1691,0.0125,1.5
app-assets,archive/,us-east-1,STANDARD_IA,59.04,133,1861,0.0125,0.74
data-lake-raw,2023/,us-east-1,GLACIER,139.3,304,2504,0.0036,0.5
data-lake-raw,raw/,sa-east-1,GLACIER_DEEP_ARCHIVE,172.16,293,399,0.002079,0.36
logs-prod,2023/,us-east-1,GLACIER,156.19,300,2729,0.0036,0.56
ml-datasets,2023/,us-east-1,STANDARD,8.88,228,1894,0.023,0.2
app-assets,2023/,us-east-1,STANDARD,96.62,271,52,0.023,2.22
backups-eu,processed/,sa-east-1,STANDARD,21.88,43,263,0.0405,0.89
data-lake-raw,2023/,us-east-1,STANDARD_IA,49.17,343,1093,0.0125,0.61
logs-prod,archive/,us-east-1,STANDARD,197.35,326,2720,0.023,4.54
logs-prod,raw/,sa-east-1,STANDARD_IA,29.36,302,2524,0.026250000000000002,0.77
app-assets,raw/,sa-east-1,STANDARD_IA,100.28,364,2344,0.026250000000000002,2.63
data-lake-raw,2023/,sa-east-1,STANDARD,124.01,379,1550,0.0405,5.02
ml-datasets,processed/,us-east-1,GLACIER,140.79,21,1963,0.0036,0.51
data-lake-raw,processed/,us-east-1,STANDARD,112.37,107,2835,0.023,2.58
app-assets,archive/,sa-east-1,STANDARD,2.94,336,2402,0.0405,0.12
app-assets,2023/,sa-east-1,GLACIER,65.97,303,651,0.0085,0.56
data-lake-raw,raw/,us-east-1,STANDARD_IA,104.02,117,2439,0.0125,1.3
app-assets,processed/,us-east-1,GLACIER,18.49,124,699,0.0036,0.07
data-lake-raw,2023/,us-east-1,STANDARD_IA,70.77,399,1286,0.0125,0.88
backups-eu,processed/,sa-east-1,STANDARD,7.61,281,1960,0.0405,0.31
data-lake-raw,processed/,us-east-1,GLACIER,16.64,292,1089,0.0036,0.06
data-lake-raw,raw/,us-east-1,GLACIER,79.99,203,1496,0.0036,0.29
app-assets,2024/,us-east-1,GLACIER,27.41,51,466,0.0036,0.1
app-assets,archive/,us-east-1,STANDARD,113.94,271,992,0.023,2.62
logs-prod,archive/,us-east-1,STANDARD_IA,138.2,324,2140,0.0125,1.73
logs-prod,raw/,us-east-1,STANDARD,160.32,277,1132,0.023,3.69
backups-eu,processed/,sa-east-1,STANDARD,40.83,141,158,0.0405,1.65
logs-prod,2023/,us-east-1,GLACIER_DEEP_ARCHIVE,34.33,275,1362,0.00099,0.03
data-lake-raw,processed/,us-east-1,STANDARD,21.81,290,1189,0.023,0.5
app-assets,raw/,us-east-1,GLACIER_DEEP_ARCHIVE,127.65,334,199,0.00099,0.13
logs-prod,archive/,us-east-1,STANDARD_IA,141.59,381,892,0.0125,1.77
logs-prod,processed/,us-east-1,STANDARD,7.29,373,2320,0.023,0.17
backups-eu,archive/,us-east-1,STANDARD_IA,187.31,52,409,0.0125,2.34
backups-eu,2023/,us-east-1,GLACIER,11.34,27,2821,0.0036,0.04
data-lake-raw,archive/,us-east-1,GLACIER,108.72,157,618,0.0036,0.39
app-assets,archive/,us-east-1,GLACIER,142.1,239,1805,0.0036,0.51
backups-eu,2024/,sa-east-1,GLACIER,174.32,156,1648,0.0085,1.48
logs-prod,2024/,us-east-1,GLACIER,143.1,291,1585,0.0036,0.52
app-assets,2024/,sa-east-1,GLACIER,160.54,136,2842,0.0085,1.36
app-assets,archive/,us-east-1,STANDARD,68.55,144,2158,0.023,1.58
logs-prod,raw/,sa-east-1,STANDARD_IA,163.15,106,1392,0.026250000000000002,4.28
backups-eu,archive/,sa-east-1,STANDARD,16.94,158,1413,0.0405,0.69
logs-prod,raw/,us-east-1,GLACIER_DEEP_ARCHIVE,179.07,146,829,0.00099,0.18
app-assets,raw/,us-east-1,GLACIER_DEEP_ARCHIVE,109.97,2,829,0.00099,0.11
ml-datasets,2024/,us-east-1,STANDARD,163.64,77,429,0.023,3.76
ml-datasets,processed/,us-east-1,GLACIER,91.01,132,133,0.0036,0.33
data-lake-raw,2023/,sa-east-1,GLACIER_DEEP_ARCHIVE,129.07,90,431,0.002079,0.27
logs-prod,2024/,sa-east-1,STANDARD,105.75,345,1518,0.0405,4.28
logs-prod,2024/,sa-east-1,STANDARD_IA,146.59,350,1607,0.026250000000000002,3.85
data-lake-raw,processed/,us-east-1,GLACIER_DEEP_ARCHIVE,17.24,263,777,0.00099,0.02
data-lake-raw,2023/,sa-east-1,STANDARD,13.01,351,2054,0.0405,0.53
data-lake-raw,archive/,sa-east-1,GLACIER,50.17,108,2540,0.0085,0.43
app-assets,archive/,us-east-1,STANDARD,32.75,74,2576,0.023,0.75
logs-prod,2024/,us-east-1,GLACIER_DEEP_ARCHIVE,174.48,39,2212,0.00099,0.17
app-assets,2023/,sa-east-1,GLACIER_DEEP_ARCHIVE,44.62,397,2149,0.002079,0.09
data-lake-raw,2024/,us-east-1,GLACIER_DEEP_ARCHIVE,195.2,159,1559,0.00099,0.19
logs-prod,raw/,sa-east-1,STANDARD_IA,68.04,71,2512,0.026250000000000002,1.79
app-assets,2024/,us-east-1,GLACIER,37.24,312,1774,0.0036,0.13
app-assets,2024/,sa-east-1,GLACIER,158.15,241,2054,0.0085,1.34
data-lake-raw,archive/,us-east-1,STANDARD,132.08,298,2655,0.023,3.04
logs-prod,archive/,us-east-1,GLACIER,100.14,36,519,0.0036,0.36
data-lake-raw,archive/,us-east-1,STANDARD,111.52,84,1216,0.023,2.56
logs-prod,raw/,sa-east-1,STANDARD_IA,144.12,374,395,0.026250000000000002,3.78
ml-datasets,archive/,sa-east-1,STANDARD,46.46,263,1607,0.0405,1.88
backups-eu,2023/,us-east-1,STANDARD,199.27,310,2462,0.023,4.58
backups-eu,processed/,us-east-1,STANDARD,194.98,385,2303,0.023,4.48
backups-eu,2023/,sa-east-1,GLACIER,130.41,172,751,0.0085,1.11
data-lake-raw,2023/,us-east-1,STANDARD,40.71,376,2718,0.023,0.94
ml-datasets,archive/,sa-east-1,GLACIER,136.37,173,2707,0.0085,1.16
logs-prod,processed/,us-east-1,STANDARD,15.37,362,1921,0.023,0.35
app-assets,processed/,us-east-1,STANDARD,7.1,47,1456,0.023,0.16
logs-prod,processed/,us-east-1,STANDARD_IA,52.28,379,910,0.0125,0.65
app-assets,raw/,us-east-1,GLACIER,93.06,141,2122,0.0036,0.34
logs-prod,archive/,sa-east-1,STANDARD,173.79,375,2270,0.0405,7.04
ml-datasets,processed/,us-east-1,STANDARD_IA,145.71,118,2019,0.0125,1.82
app-assets,raw/,us-east-1,GLACIER,148.8,277,251,0.0036,0.54
data-lake-raw,2024/,sa-east-1,STANDARD_IA,85.67,214,2550,0.026250000000000002,2.25
logs-prod,2024/,us-east-1,STANDARD,69.84,220,2395,0.023,1.61
logs-prod,raw/,us-east-1,STANDARD,74.84,393,2030,0.023,1.72
app-assets,raw/,sa-east-1,GLACIER,197.54,26,182,0.0085,1.68
data-lake-raw,archive/,sa-east-1,STANDARD,8.98,9,681,0.0405,0.36
data-lake-raw,archive/,us-east-1,GLACIER,173.54,271,173,0.0036,0.62
ml-datasets,2024/,sa-east-1,STANDARD_IA,116.16,10,474,0.026250000000000002,3.05
data-lake-raw,processed/,sa-east-1,GLACIER_DEEP_ARCHIVE,88.28,378,506,0.002079,0.18
data-lake-raw,2024/,us-east-1,GLACIER,145.33,121,709,0.0036,0.52
data-lake-raw,processed/,us-east-1,GLACIER_DEEP_ARCHIVE,97.85,125,2452,0.00099,0.1
backups-eu,processed/,sa-east-1,STANDARD,174.81,170,712,0.0405,7.08
ml-datasets,archive/,sa-east-1,GLACIER,180.24,72,1950,0.0085,1.53
logs-prod,2023/,us-east-1,STANDARD_IA,84.92,152,2365,0.0125,1.06
app-assets,2023/,sa-east-1,STANDARD_IA,56.09,208,1801,0.026250000000000002,1.47
logs-prod,raw/,sa-east-1,STANDARD_IA,118.88,49,192,0.026250000000000002,3.12
ml-datasets,archive/,us-east-1,GLACIER,182.56,154,638,0.0036,0.66
app-assets,processed/,us-east-1,GLACIER_DEEP_ARCHIVE,42.92,347,2567,0.00099,0.04
ml-datasets,2023/,us-east-1,GLACIER,124.97,293,1741,0.0036,0.45
data-lake-raw,processed/,sa-east-1,STANDARD_IA,126.68,68,555,0.026250000000000002,3.33
app-assets,2023/,us-east-1,STANDARD_IA,146.89,50,1597,0.0125,1.84
data-lake-raw,2023/,us-east-1,GLACIER,27.18,152,633,0.0036,0.1
logs-prod,2023/,sa-east-1,STANDARD,143.45,19,603,0.0405,5.81
logs-prod,archive/,sa-east-1,STANDARD,181.9,100,753,0.0405,7.37
app-assets,2024/,us-east-1,STANDARD,36.76,60,1778,0.023,0.85
app-assets,processed/,sa-east-1,STANDARD,48.27,167,1469,0.0405,1.95
ml-datasets,archive/,us-east-1,STANDARD,194.31,202,1958,0.023,4.47
ml-datasets,archive/,sa-east-1,STANDARD,37.01,345,2611,0.0405,1.5
data-lake-raw,archive/,us-east-1,STANDARD,171.02,146,2078,0.023,3.93
app-assets,archive/,us-east-1,STANDARD,98.96,164,2611,0.023,2.28
logs-prod,archive/,sa-east-1,GLACIER_DEEP_ARCHIVE,50.2,242,2454,0.002079,0.1
logs-prod,2023/,us-east-1,STANDARD,339.94,844,3090,0.023,7.82
logs-prod,2023/,us-east-1,STANDARD,330.64,887,4456,0.023,7.6
logs-prod,2023/,us-east-1,STANDARD,497.61,786,4692,0.023,11.45
logs-prod,2023/,us-east-1,STANDARD,582.85,787,4506,0.023,13.41
logs-prod,2023/,us-east-1,STANDARD,542.67,872,1407,0.023,12.48
logs-prod,2023/,us-east-1,STANDARD,322.93,768,4554,0.023,7.43
logs-prod,2023/,us-east-1,STANDARD,383.81,859,3711,0.023,8.83
logs-prod,2023/,us-east-1,STANDARD,579.1,871,4088,0.023,13.32
logs-prod,2023/,us-east-1,STANDARD,375.92,892,2668,0.023,8.65
logs-prod,2023/,us-east-1,STANDARD,534.35,786,1147,0.023,12.29
logs-prod,2023/,us-east-1,STANDARD,547.54,800,3324,0.023,12.59
logs-prod,2023/,us-east-1,STANDARD,448.64,707,1231,0.023,10.32
logs-prod,2023/,us-east-1,STANDARD,415.9,776,4897,0.023,9.57
logs-prod,2023/,us-east-1,STANDARD,435.04,899,2950,0.023,10.01
logs-prod,2023/,us-east-1,STANDARD,368.09,786,1365,0.023,8.47
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1494.11,610,3827,0.00099,1.48
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1479.52,867,3613,0.00099,1.46
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1459.62,719,3640,0.00099,1.45
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1348.69,836,4216,0.00099,1.34
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1048.39,722,6312,0.00099,1.04
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1088.49,635,2377,0.00099,1.08
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1184.73,755,6214,0.00099,1.17
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,1381.37,859,6285,0.00099,1.37
data-lake-raw,archive/,us-east-1,GLACIER_DEEP_ARCHIVE,848.1,828,2369,0.00099,0.84
